S. No.,Employee Id,First Name,Last Name,Full Name,Gender,Marital Status,Age,Date Of Birth,Date Of Joining,Date of Leaving,Designation,Department,Work Location,Status,Qualification,Shift Details,Current CTC
4736,ASG04736,Gagan,Chana,Gagan Chana,Male,Married,28,1998-03-13,2020-04-13,,BI Developer,Analytics,Chennai,Active,PG,Day,826000
4737,ASG04737,Ganga,Sastry,Ganga Sastry,Female,Married,35,1991-06-22,2020-04-13,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Day,1575000
4738,ASG04738,Abhiram,Devan,Abhiram Devan,Male,Married,29,1996-09-29,2020-04-13,,Payroll Analyst,Payroll,Bangalore,Active,PG,Mid,906000
4739,ASG04739,Akshay,Badami,Akshay Badami,Male,Single,42,1984-02-12,2020-04-13,,Senior Payroll Analyst,Payroll,Mumbai,Active,PG,Day,2124000
4740,ASG04740,Amruta,Jayaraman,Amruta Jayaraman,Female,Single,33,1993-01-08,2020-04-14,,Senior Sales Executive,Sales,Hyderabad,Active,UG,Day,1486000
4741,ASG04741,Wazir,Padmanabhan,Wazir Padmanabhan,Male,Married,27,1999-04-05,2020-04-14,2025-09-30,HR Executive,HR,Chennai,Relieved,PG,Night,703000
4742,ASG04742,Darsh,Sachdeva,Darsh Sachdeva,Male,Married,34,1992-05-23,2020-04-14,,Data Analyst,Analytics,Chennai,Active,UG,Day,1147000
4743,ASG04743,Yash,Dalal,Yash Dalal,Male,Married,38,1988-01-05,2020-04-15,,Regional Sales Lead,Sales,Kolkata,Active,PG,Mid,1781000
4744,ASG04744,Sachi,Doctor,Sachi Doctor,Female,Married,27,1999-01-05,2020-04-15,,HR Executive,HR,Chennai,Active,PG,Night,707000
4745,ASG04745,Meghana,Gera,Meghana Gera,Female,Married,40,1986-05-30,2020-04-15,,Regional Sales Lead,Sales,Chennai,Active,PG,Night,1948000
4746,ASG04746,Vrinda,Murty,Vrinda Murty,Female,Married,36,1990-01-12,2020-04-15,2021-02-14,HR Analyst,HR,Chennai,Relieved,PG,Day,1278000
4747,ASG04747,Waida,Atwal,Waida Atwal,Female,Married,39,1987-01-29,2020-04-15,,Senior Sales Executive,Sales,Mumbai,Active,UG,Mid,1883000
4748,ASG04748,Vasudha,Gole,Vasudha Gole,Female,Married,32,1994-05-21,2020-04-15,2025-08-14,Regional Sales Lead,Sales,Hyderabad,Relieved,PG,Day,1436000
4749,ASG04749,Christopher,Chacko,Christopher Chacko,Male,Single,47,1979-07-21,2020-04-15,2025-09-18,Analytics Manager,Analytics,Mumbai,Relieved,UG,Day,2987000
4750,ASG04750,Pahal,Sura,Pahal Sura,Female,Married,29,1997-02-20,2020-04-16,,HR Analyst,HR,Hyderabad,Active,PG,Day,925000
4751,ASG04751,Deepa,Sangha,Deepa Sangha,Female,Married,35,1991-09-14,2020-04-16,,Data Analyst,Analytics,Bangalore,Active,UG,Day,1190000
4752,ASG04752,Gaurangi,Wali,Gaurangi Wali,Female,Single,41,1985-08-19,2020-04-16,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Mid,2050000
4753,ASG04753,Rayaan,Sarkar,Rayaan Sarkar,Male,Married,37,1989-03-26,2020-04-17,,Regional Sales Lead,Sales,Kolkata,Active,PG,Night,1760000
4754,ASG04754,Nachiket,Cherian,Nachiket Cherian,Male,Single,42,1983-10-25,2020-04-18,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Night,2088000
4755,ASG04755,Faqid,Parsa,Faqid Parsa,Male,Single,37,1988-10-07,2020-04-18,,Senior Sales Executive,Sales,Mumbai,Active,PG,Day,1706000
4756,ASG04756,Ganga,Karpe,Ganga Karpe,Female,Single,58,1967-12-12,2020-04-18,,HR Manager,HR,Bangalore,Active,PG,Day,3796000
4757,ASG04757,Kavya,Ben,Kavya Ben,Female,Single,40,1986-02-08,2020-04-18,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,1934000
4758,ASG04758,Chakradev,Banerjee,Chakradev Banerjee,Male,Single,33,1993-03-11,2020-04-18,2023-05-13,Senior Sales Executive,Sales,Bangalore,Relieved,PG,Day,1479000
4759,ASG04759,Keya,Rama,Keya Rama,Female,Married,42,1983-10-16,2020-04-19,2026-08-03,Sr Accountant,Finance,Kolkata,Relieved,PG,Day,2082000
4760,ASG04760,Chandresh,Sura,Chandresh Sura,Male,Single,32,1994-06-17,2020-04-21,,Accounts Executive,Finance,Bangalore,Active,UG,Night,1081000
4761,ASG04761,Hritik,Jhaveri,Hritik Jhaveri,Male,Married,37,1989-08-10,2020-04-21,,Senior Sales Executive,Sales,Chennai,Active,UG,Night,1742000
4762,ASG04762,Pratyush,Dhillon,Pratyush Dhillon,Male,Married,27,1999-06-05,2020-04-21,,HR Analyst,HR,Mumbai,Active,PG,Day,785000
4763,ASG04763,Vrishti,Banik,Vrishti Banik,Female,Married,29,1997-04-29,2020-04-22,,Accounts Executive,Finance,Mumbai,Active,UG,Night,915000
4764,ASG04764,Adya,Dora,Adya Dora,Female,Single,38,1987-09-21,2020-04-22,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Mid,1791000
4765,ASG04765,Owen,Sengupta,Owen Sengupta,Male,Married,41,1984-12-03,2020-04-22,2023-01-21,Senior Payroll Analyst,Payroll,Hyderabad,Relieved,UG,Day,2045000
4766,ASG04766,Zansi,Pingle,Zansi Pingle,Female,Single,28,1997-09-29,2020-04-23,2023-09-06,Accounts Executive,Finance,Chennai,Relieved,PG,Day,881000
4767,ASG04767,Dalaja,Chacko,Dalaja Chacko,Female,Married,27,1999-04-28,2020-04-23,,Sales Trainee,Sales,Hyderabad,Active,PG,Day,696000
4768,ASG04768,Pranav,Rao,Pranav Rao,Male,Married,35,1991-06-24,2020-04-23,,Sales Executive,Sales,Hyderabad,Active,PG,Night,1197000
4769,ASG04769,Darpan,Krishnamurthy,Darpan Krishnamurthy,Male,Single,37,1988-10-01,2020-04-24,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1719000
4770,ASG04770,Amara,Bhat,Amara Bhat,Female,Single,42,1984-05-05,2020-04-24,,Senior Sales Executive,Sales,Mumbai,Active,UG,Day,2060000
4771,ASG04771,Damini,Krish,Damini Krish,Female,Single,54,1972-09-09,2020-04-24,,HR Manager,HR,Bangalore,Active,PG,Mid,3527000
4772,ASG04772,Kavya,Mandal,Kavya Mandal,Female,Single,32,1994-04-24,2020-04-24,,Regional Sales Lead,Sales,Mumbai,Active,UG,Mid,1425000
4773,ASG04773,Jeet,Oommen,Jeet Oommen,Male,Single,41,1984-12-20,2020-04-24,2026-01-02,Senior Sales Executive,Sales,Hyderabad,Relieved,PG,Night,2036000
4774,ASG04774,Baghyawati,Dhaliwal,Baghyawati Dhaliwal,Female,Single,41,1985-06-03,2020-04-25,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Day,1993000
4775,ASG04775,Jagvi,Dora,Jagvi Dora,Female,Married,37,1989-08-11,2020-04-26,,Payroll Analyst,Payroll,Mumbai,Active,UG,Day,1278000
4776,ASG04776,Faris,Cheema,Faris Cheema,Male,Married,32,1993-11-29,2020-04-27,,Payroll Analyst,Payroll,Bangalore,Active,UG,Day,1046000
4777,ASG04777,Vasatika,Taneja,Vasatika Taneja,Female,Married,45,1981-08-17,2020-04-29,,Senior Sales Executive,Sales,Hyderabad,Active,PG,Mid,2277000
4778,ASG04778,Januja,Dua,Januja Dua,Female,Single,38,1988-01-02,2020-04-29,,Accounts Executive,Finance,Chennai,Active,PG,Night,1330000
4779,ASG04779,Ishani,Ben,Ishani Ben,Female,Married,40,1986-04-26,2020-04-30,,Regional Sales Lead,Sales,Chennai,Active,UG,Day,1919000
4780,ASG04780,Urmi,Swaminathan,Urmi Swaminathan,Female,Married,39,1986-12-26,2020-04-30,2026-09-01,Regional Sales Lead,Sales,Mumbai,Relieved,PG,Day,1890000
4781,ASG04781,Omaja,Naidu,Omaja Naidu,Female,Married,36,1990-05-13,2020-05-02,,Sr Accountant,Finance,Kolkata,Active,PG,Day,1660000
4782,ASG04782,Pahal,Gara,Pahal Gara,Female,Married,36,1990-05-13,2020-05-03,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Day,1663000
4783,ASG04783,Ishani,Tak,Ishani Tak,Female,Single,32,1994-03-08,2020-05-03,,Senior Sales Executive,Sales,Kolkata,Active,PG,Mid,1356000
4784,ASG04784,Ikbal,Peri,Ikbal Peri,Male,Single,27,1999-07-23,2020-05-03,,Sales Trainee,Sales,Mumbai,Active,UG,Day,688000
4785,ASG04785,Neha,Tiwari,Neha Tiwari,Female,Single,56,1970-09-14,2020-05-04,,Analytics Manager,Analytics,Hyderabad,Active,PG,Day,3637000
4786,ASG04786,Xiti,Oak,Xiti Oak,Female,Single,39,1987-02-27,2020-05-04,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Day,1880000
4787,ASG04787,Manthan,Sankaran,Manthan Sankaran,Male,Married,36,1990-06-18,2020-05-05,,Accounts Executive,Finance,Hyderabad,Active,UG,Day,1220000
4788,ASG04788,Zansi,Ravi,Zansi Ravi,Female,Married,38,1988-08-12,2020-05-05,,Sr Accountant,Finance,Mumbai,Active,UG,Mid,1826000
4789,ASG04789,Jagdish,Ramakrishnan,Jagdish Ramakrishnan,Male,Single,34,1992-01-17,2020-05-06,,Regional Sales Lead,Sales,Bangalore,Active,PG,Night,1541000
4790,ASG04790,Tristan,Parmar,Tristan Parmar,Male,Single,36,1990-03-11,2020-05-06,,Sales Executive,Sales,Hyderabad,Active,PG,Day,1246000
4791,ASG04791,Libni,Seshadri,Libni Seshadri,Female,Married,36,1990-03-27,2020-05-07,,Accounts Executive,Finance,Bangalore,Active,PG,Night,1240000
4792,ASG04792,Eiravati,Chakraborty,Eiravati Chakraborty,Female,Married,36,1990-05-23,2020-05-07,,Sales Executive,Sales,Chennai,Active,UG,Day,1282000
4793,ASG04793,Amara,Deol,Amara Deol,Female,Married,35,1990-09-23,2020-05-07,,Data Analyst,Analytics,Mumbai,Active,UG,Day,1228000
4794,ASG04794,Hamsini,Ahuja,Hamsini Ahuja,Female,Married,33,1992-11-17,2020-05-07,2021-09-24,Payroll Analyst,Payroll,Kolkata,Relieved,PG,Day,1087000
4795,ASG04795,Abhimanyu,Kurian,Abhimanyu Kurian,Male,Married,35,1990-10-28,2020-05-07,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,1613000
4796,ASG04796,Yadavi,Konda,Yadavi Konda,Female,Married,28,1998-07-04,2020-05-07,,Accounts Executive,Finance,Hyderabad,Active,UG,Mid,845000
4797,ASG04797,Inaya,Sem,Inaya Sem,Female,Single,37,1989-05-02,2020-05-08,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1712000
4798,ASG04798,Ira,Ramachandran,Ira Ramachandran,Female,Single,41,1985-03-09,2020-05-09,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,2061000
4799,ASG04799,Varenya,Upadhyay,Varenya Upadhyay,Female,Single,36,1990-07-25,2020-05-10,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Night,1652000
4800,ASG04800,Orinder,Randhawa,Orinder Randhawa,Male,Married,27,1998-09-17,2020-05-10,,Accounts Trainee,Finance,Chennai,Active,PG,Day,692000
4801,ASG04801,Ansh,Radhakrishnan,Ansh Radhakrishnan,Male,Married,27,1999-04-17,2020-05-12,2024-12-25,HR Executive,HR,Hyderabad,Relieved,UG,Mid,705000
4802,ASG04802,Dhriti,Bhalla,Dhriti Bhalla,Female,Married,33,1993-09-03,2020-05-12,,Data Analyst,Analytics,Mumbai,Active,PG,Day,1108000
4803,ASG04803,Shravya,Varghese,Shravya Varghese,Female,Married,29,1996-11-16,2020-05-12,,Accounts Executive,Finance,Kolkata,Active,UG,Day,923000
4804,ASG04804,Nathaniel,Iyer,Nathaniel Iyer,Male,Married,44,1982-09-10,2020-05-13,2021-08-31,Senior Payroll Analyst,Payroll,Bangalore,Relieved,UG,Day,2200000
4805,ASG04805,Divya,Bhalla,Divya Bhalla,Female,Married,27,1998-11-19,2020-05-13,,Payroll Executive,Payroll,Mumbai,Active,PG,Day,694000
4806,ASG04806,Rudra,Nair,Rudra Nair,Male,Single,37,1989-08-05,2020-05-14,,Payroll Analyst,Payroll,Mumbai,Active,UG,Day,1273000
4807,ASG04807,Chameli,Chand,Chameli Chand,Female,Single,58,1968-05-01,2020-05-14,,Sales Manager,Sales,Hyderabad,Active,PG,Day,3800000
4808,ASG04808,Chaman,Johal,Chaman Johal,Female,Single,39,1986-11-07,2020-05-15,2023-09-09,Senior Payroll Analyst,Payroll,Chennai,Relieved,PG,Day,1916000
4809,ASG04809,Arunima,Shroff,Arunima Shroff,Female,Married,36,1990-04-26,2020-05-15,,Senior Data Analyst,Analytics,Hyderabad,Active,UG,Mid,1693000
4810,ASG04810,Dakshesh,Munshi,Dakshesh Munshi,Male,Married,34,1992-02-27,2020-05-16,2024-09-29,Sr Accountant,Finance,Chennai,Relieved,PG,Mid,1549000
4811,ASG04811,Azaan,Naidu,Azaan Naidu,Male,Married,27,1999-06-22,2020-05-16,,Sales Executive,Sales,Bangalore,Active,UG,Mid,798000
4812,ASG04812,Maanas,Subramanian,Maanas Subramanian,Male,Married,42,1984-05-04,2020-05-16,,Senior Sales Executive,Sales,Chennai,Active,PG,Mid,2067000
4813,ASG04813,Vinaya,Vyas,Vinaya Vyas,Female,Married,36,1990-02-14,2020-05-17,2023-04-05,Regional Sales Lead,Sales,Kolkata,Relieved,UG,Day,1648000
4814,ASG04814,Ubika,Wali,Ubika Wali,Female,Married,38,1988-07-13,2020-05-17,2021-07-04,Regional Sales Lead,Sales,Chennai,Relieved,UG,Night,1776000
4815,ASG04815,Keya,Konda,Keya Konda,Female,Married,31,1995-04-21,2020-05-17,,Accounts Executive,Finance,Chennai,Active,PG,Day,992000
4816,ASG04816,Zaitra,Cheema,Zaitra Cheema,Female,Married,34,1991-10-21,2020-05-18,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,1497000
4817,ASG04817,Tripti,Chatterjee,Tripti Chatterjee,Female,Married,32,1994-03-12,2020-05-18,,Regional Sales Lead,Sales,Chennai,Active,PG,Day,1399000
4818,ASG04818,Gopal,Parmar,Gopal Parmar,Male,Married,44,1982-05-26,2020-05-19,,Regional Sales Lead,Sales,Kolkata,Active,PG,Night,2251000
4819,ASG04819,Forum,Rastogi,Forum Rastogi,Female,Single,31,1995-02-07,2020-05-19,,Accounts Executive,Finance,Kolkata,Active,UG,Day,979000
4820,ASG04820,Janani,Khurana,Janani Khurana,Female,Married,45,1981-06-14,2020-05-19,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Day,2255000
4821,ASG04821,Liam,Om,Liam Om,Male,Married,33,1993-06-19,2020-05-19,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,1489000
4822,ASG04822,Girindra,Ganguly,Girindra Ganguly,Male,Married,30,1996-04-19,2020-05-20,,Sales Executive,Sales,Kolkata,Active,PG,Day,947000
4823,ASG04823,Faris,Tara,Faris Tara,Male,Single,37,1989-05-01,2020-05-21,,Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,1319000
4824,ASG04824,Zayan,Iyengar,Zayan Iyengar,Male,Married,35,1991-06-05,2020-05-22,,Data Analyst,Analytics,Hyderabad,Active,PG,Mid,1213000
4825,ASG04825,Luke,Khosla,Luke Khosla,Male,Married,37,1989-06-03,2020-05-22,,Regional Sales Lead,Sales,Chennai,Active,PG,Night,1722000
4826,ASG04826,Vritti,Parekh,Vritti Parekh,Female,Single,53,1973-01-13,2020-05-23,,Sales Manager,Sales,Hyderabad,Active,UG,Mid,3446000
4827,ASG04827,Jason,Pant,Jason Pant,Male,Married,40,1986-05-08,2020-05-23,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,1948000
4828,ASG04828,Laksh,Mitter,Laksh Mitter,Male,Single,30,1996-04-18,2020-05-23,,HR Analyst,HR,Mumbai,Active,PG,Day,935000
4829,ASG04829,Odika,Deshpande,Odika Deshpande,Female,Single,57,1968-11-17,2020-05-24,,HR Manager,HR,Kolkata,Active,PG,Night,3756000
4830,ASG04830,Siddharth,Srinivasan,Siddharth Srinivasan,Male,Married,45,1981-08-05,2020-05-24,,Sr Accountant,Finance,Chennai,Active,PG,Mid,2297000
4831,ASG04831,Nidhi,Pall,Nidhi Pall,Female,Single,30,1996-03-17,2020-05-25,,Sales Executive,Sales,Bangalore,Active,PG,Day,956000
4832,ASG04832,Daniel,Sinha,Daniel Sinha,Male,Married,27,1999-05-24,2020-05-26,,Sales Trainee,Sales,Mumbai,Active,UG,Day,699000
4833,ASG04833,Vansha,Oommen,Vansha Oommen,Female,Married,41,1985-05-18,2020-05-26,2023-07-25,Regional Sales Lead,Sales,Mumbai,Relieved,PG,Day,2032000
4834,ASG04834,Yoshita,Yohannan,Yoshita Yohannan,Female,Married,44,1981-12-22,2020-05-27,,Sr Accountant,Finance,Hyderabad,Active,PG,Day,2197000
4835,ASG04835,Eta,Golla,Eta Golla,Female,Single,45,1981-05-04,2020-05-27,,Senior Sales Executive,Sales,Kolkata,Active,PG,Day,2257000
4836,ASG04836,Ridhi,Mohan,Ridhi Mohan,Female,Single,32,1994-08-14,2020-05-27,,Data Analyst,Analytics,Chennai,Active,UG,Mid,1060000
4837,ASG04837,Yashodhara,Mukherjee,Yashodhara Mukherjee,Female,Married,44,1981-11-05,2020-05-28,2022-11-15,Senior Sales Executive,Sales,Mumbai,Relieved,PG,Mid,2246000
4838,ASG04838,Dalbir,Dalal,Dalbir Dalal,Male,Married,27,1999-08-22,2020-05-28,,Accounts Trainee,Finance,Mumbai,Active,UG,Mid,706000
4839,ASG04839,Bachittar,Mody,Bachittar Mody,Male,Single,29,1997-08-08,2020-05-28,2021-08-30,Payroll Analyst,Payroll,Kolkata,Relieved,PG,Day,893000
4840,ASG04840,Elijah,Mitra,Elijah Mitra,Male,Married,33,1993-02-20,2020-05-28,,Accounts Executive,Finance,Kolkata,Active,UG,Day,1092000
4841,ASG04841,Shravya,Wason,Shravya Wason,Female,Married,36,1990-01-07,2020-05-29,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,1683000
4842,ASG04842,Widisha,Kapoor,Widisha Kapoor,Female,Married,34,1992-04-18,2020-05-29,2025-09-12,Senior Data Analyst,Analytics,Hyderabad,Relieved,PG,Day,1537000
4843,ASG04843,Ranbir,Nagar,Ranbir Nagar,Male,Married,46,1979-10-02,2020-05-30,,HR Manager,HR,Mumbai,Active,PG,Day,2908000
4844,ASG04844,Aarini,Karnik,Aarini Karnik,Female,Married,44,1982-05-25,2020-05-31,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,2255000
4845,ASG04845,Kritika,Tiwari,Kritika Tiwari,Female,Single,40,1985-11-21,2020-06-01,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Night,1975000
4846,ASG04846,Ethan,Rau,Ethan Rau,Male,Married,37,1989-08-19,2020-06-03,,Accounts Executive,Finance,Kolkata,Active,UG,Mid,1309000
4847,ASG04847,Tarak,Agate,Tarak Agate,Male,Single,37,1989-06-14,2020-06-03,,Payroll Analyst,Payroll,Kolkata,Active,PG,Day,1320000
4848,ASG04848,Arjun,Kapadia,Arjun Kapadia,Male,Married,40,1986-02-21,2020-06-03,,Senior Sales Executive,Sales,Hyderabad,Active,UG,Day,1961000
4849,ASG04849,Samesh,Hari,Samesh Hari,Male,Single,36,1990-09-03,2020-06-04,,Senior Sales Executive,Sales,Hyderabad,Active,PG,Night,1650000
4850,ASG04850,Chameli,Brahmbhatt,Chameli Brahmbhatt,Female,Married,33,1992-09-23,2020-06-04,,Accounts Executive,Finance,Hyderabad,Active,UG,Day,1091000
4851,ASG04851,Ekapad,Patil,Ekapad Patil,Male,Single,32,1994-05-18,2020-06-05,2025-09-07,Senior Data Analyst,Analytics,Bangalore,Relieved,PG,Day,1406000
4852,ASG04852,Warinder,Doshi,Warinder Doshi,Male,Married,27,1999-07-08,2020-06-05,,Accounts Trainee,Finance,Mumbai,Active,UG,Day,700000
4853,ASG04853,Krishna,Jaggi,Krishna Jaggi,Female,Married,39,1987-02-26,2020-06-06,,Sr Accountant,Finance,Bangalore,Active,UG,Day,1852000
4854,ASG04854,Tanmayi,Magar,Tanmayi Magar,Female,Single,45,1981-05-21,2020-06-07,,Sr Accountant,Finance,Mumbai,Active,PG,Mid,2320000
4855,ASG04855,Chandran,Kapur,Chandran Kapur,Male,Single,45,1980-12-08,2020-06-08,,Senior Sales Executive,Sales,Hyderabad,Active,UG,Mid,2324000
4856,ASG04856,Anay,Johal,Anay Johal,Male,Married,27,1999-06-14,2020-06-08,2021-11-11,Sales Executive,Sales,Chennai,Relieved,UG,Mid,801000
4857,ASG04857,Baljiwan,Bhargava,Baljiwan Bhargava,Male,Single,39,1987-08-13,2020-06-09,,Sr Accountant,Finance,Bangalore,Active,UG,Day,1856000
4858,ASG04858,Ayaan,Mody,Ayaan Mody,Male,Single,32,1994-03-21,2020-06-09,,HR Analyst,HR,Chennai,Active,PG,Mid,1054000
4859,ASG04859,Samarth,Issac,Samarth Issac,Male,Single,37,1989-05-07,2020-06-09,,Sales Executive,Sales,Kolkata,Active,UG,Day,1312000
4860,ASG04860,Caleb,Bora,Caleb Bora,Male,Married,35,1991-07-19,2020-06-09,2025-08-03,Senior Data Analyst,Analytics,Hyderabad,Relieved,PG,Mid,1603000
4861,ASG04861,Hemani,Doshi,Hemani Doshi,Female,Single,44,1982-06-26,2020-06-10,2023-03-13,Senior Sales Executive,Sales,Bangalore,Relieved,PG,Night,2264000
4862,ASG04862,Ekavir,Ratta,Ekavir Ratta,Male,Married,30,1996-02-20,2020-06-10,,Payroll Analyst,Payroll,Mumbai,Active,UG,Day,975000
4863,ASG04863,Ranbir,Chawla,Ranbir Chawla,Male,Single,45,1981-03-24,2020-06-10,,Senior Payroll Analyst,Payroll,Mumbai,Active,PG,Day,2268000
4864,ASG04864,Vanya,Khalsa,Vanya Khalsa,Female,Married,40,1986-04-07,2020-06-10,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1993000
4865,ASG04865,Lila,Nagi,Lila Nagi,Female,Married,39,1986-12-30,2020-06-10,,Senior Sales Executive,Sales,Chennai,Active,PG,Mid,1878000
4866,ASG04866,Vaishnavi,Anne,Vaishnavi Anne,Female,Married,27,1999-07-29,2020-06-10,,Sales Executive,Sales,Chennai,Active,PG,Night,822000
4867,ASG04867,Jagvi,Pradhan,Jagvi Pradhan,Female,Single,32,1994-03-13,2020-06-11,,Sr Accountant,Finance,Kolkata,Active,UG,Day,1403000
4868,ASG04868,Ishani,Raghavan,Ishani Raghavan,Female,Married,44,1982-05-24,2020-06-12,,Sr Accountant,Finance,Bangalore,Active,UG,Day,2215000
4869,ASG04869,Vasana,Lal,Vasana Lal,Female,Married,48,1978-04-02,2020-06-12,2021-06-15,Sales Manager,Sales,Chennai,Relieved,PG,Day,3017000
4870,ASG04870,Kashish,Arya,Kashish Arya,Female,Married,36,1989-11-29,2020-06-12,,Senior Sales Executive,Sales,Hyderabad,Active,PG,Night,1662000
4871,ASG04871,Indali,Lad,Indali Lad,Female,Single,32,1994-04-01,2020-06-12,,HR Analyst,HR,Chennai,Active,PG,Day,1078000
4872,ASG04872,Garima,Oak,Garima Oak,Female,Married,43,1983-08-11,2020-06-13,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,2198000
4873,ASG04873,Ekalinga,Dora,Ekalinga Dora,Male,Married,41,1985-06-22,2020-06-13,,Senior Sales Executive,Sales,Mumbai,Active,UG,Mid,2033000
4874,ASG04874,Harini,Hegde,Harini Hegde,Female,Married,35,1990-12-22,2020-06-14,,Regional Sales Lead,Sales,Mumbai,Active,PG,Mid,1608000
4875,ASG04875,Diya,Jayaraman,Diya Jayaraman,Female,Married,34,1991-09-20,2020-06-14,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Day,1505000
4876,ASG04876,Xalak,Wadhwa,Xalak Wadhwa,Female,Married,27,1998-09-29,2020-06-15,,Accounts Executive,Finance,Chennai,Active,PG,Day,773000
4877,ASG04877,Chandresh,Bose,Chandresh Bose,Male,Married,33,1993-05-08,2020-06-15,,Data Analyst,Analytics,Kolkata,Active,PG,Day,1079000
4878,ASG04878,Ishani,Sharaf,Ishani Sharaf,Female,Married,27,1999-02-15,2020-06-15,,Sales Trainee,Sales,Bangalore,Active,UG,Mid,696000
4879,ASG04879,Gunbir,Tripathi,Gunbir Tripathi,Male,Single,42,1983-11-08,2020-06-16,,Regional Sales Lead,Sales,Chennai,Active,PG,Day,2134000
4880,ASG04880,Tarak,Borde,Tarak Borde,Male,Married,41,1985-05-26,2020-06-16,,Regional Sales Lead,Sales,Chennai,Active,PG,Night,2061000
4881,ASG04881,Yashoda,Tak,Yashoda Tak,Female,Married,35,1991-06-08,2020-06-17,,Sales Executive,Sales,Hyderabad,Active,PG,Night,1172000
4882,ASG04882,Odika,Pandey,Odika Pandey,Female,Married,39,1987-01-01,2020-06-17,,Senior Data Analyst,Analytics,Chennai,Active,PG,Day,1845000
4883,ASG04883,Dalbir,Buch,Dalbir Buch,Male,Married,53,1972-10-09,2020-06-18,,Sales Manager,Sales,Hyderabad,Active,PG,Mid,3393000
4884,ASG04884,Advay,Dewan,Advay Dewan,Male,Single,38,1988-06-23,2020-06-18,2022-12-16,Regional Sales Lead,Sales,Chennai,Relieved,PG,Mid,1822000
4885,ASG04885,Shivani,Bhavsar,Shivani Bhavsar,Female,Single,35,1991-08-15,2020-06-19,,Senior Data Analyst,Analytics,Chennai,Active,PG,Day,1627000
4886,ASG04886,Jeevika,Goswami,Jeevika Goswami,Female,Single,40,1986-05-20,2020-06-20,,Senior Sales Executive,Sales,Kolkata,Active,UG,Day,1956000
4887,ASG04887,Daniel,Hari,Daniel Hari,Male,Married,37,1989-02-09,2020-06-20,,Sr Accountant,Finance,Kolkata,Active,PG,Day,1707000
4888,ASG04888,Nisha,Madan,Nisha Madan,Female,Married,45,1981-04-22,2020-06-20,2023-03-02,Regional Sales Lead,Sales,Kolkata,Relieved,PG,Day,2257000
4889,ASG04889,Ishaan,Sule,Ishaan Sule,Male,Single,41,1984-12-24,2020-06-21,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,2027000
4890,ASG04890,Hiral,Uppal,Hiral Uppal,Female,Single,44,1981-10-18,2020-06-22,2024-09-01,Senior Payroll Analyst,Payroll,Hyderabad,Relieved,PG,Day,2240000
4891,ASG04891,Patrick,Behl,Patrick Behl,Male,Married,42,1983-11-22,2020-06-22,,Regional Sales Lead,Sales,Kolkata,Active,UG,Day,2068000
4892,ASG04892,Anika,Chandran,Anika Chandran,Female,Married,42,1983-12-16,2020-06-22,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Day,2125000
4893,ASG04893,Amrita,Nori,Amrita Nori,Female,Married,38,1988-08-19,2020-06-22,2025-08-20,Regional Sales Lead,Sales,Kolkata,Relieved,PG,Day,1821000
4894,ASG04894,Siddharth,Desai,Siddharth Desai,Male,Single,44,1982-05-31,2020-06-23,2024-07-06,Sr Accountant,Finance,Mumbai,Relieved,UG,Day,2271000
4895,ASG04895,Upadhriti,Minhas,Upadhriti Minhas,Female,Married,32,1994-07-14,2020-06-23,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Day,1385000
4896,ASG04896,Harshil,Shah,Harshil Shah,Male,Married,27,1998-10-13,2020-06-24,,Accounts Trainee,Finance,Bangalore,Active,PG,Day,708000
4897,ASG04897,Parth,Ram,Parth Ram,Male,Single,38,1988-04-06,2020-06-24,,Data Analyst,Analytics,Chennai,Active,PG,Day,1376000
4898,ASG04898,Girindra,Samra,Girindra Samra,Male,Married,57,1969-09-17,2020-06-24,,Sales Manager,Sales,Chennai,Active,UG,Day,3739000
